Transaction ID,Customer ID,Transaction Date,Transaction Type,Amount (KES),Customer Age,Customer Segment,Account Balance (KES),Branch Location,Transaction Channel
TXN10000,CUST9239,2023-06-18,Withdrawal,43338.9,46,SME,351628.51,Eldoret,Mobile Banking
TXN10001,CUST4289,2023-07-30,Fund Transfer,75336.69,21,Corporate,320554.25,Eldoret,ATM
TXN10002,CUST7162,2023-10-30,Loan Payment,18354.97,64,Retail,318417.28,Nairobi,Online
TXN10003,CUST5041,2023-09-04,Deposit,91730.05,39,SME,188267.77,Eldoret,Online
TXN10004,CUST4878,2023-10-22,Fund Transfer,30669.17,70,Corporate,496011.84,Mombasa,Mobile Banking
TXN10005,CUST9840,2023-10-13,Loan Payment,12422.47,44,Corporate,162557.81,Eldoret,Online
TXN10006,CUST3997,2023-06-23,Fund Transfer,29521.0,22,Retail,230038.9,Mombasa,Online
TXN10007,CUST8587,2023-03-06,Bill Payment,49976.22,47,Retail,170837.89,Nairobi,Online
TXN10008,CUST7244,2023-01-17,Deposit,83720.05,35,Corporate,121435.2,Nakuru,ATM
TXN10009,CUST9371,2023-01-11,Deposit,54575.61,23,SME,287173.97,Eldoret,ATM
TXN10010,CUST6439,2023-11-28,Loan Payment,6190.75,64,Retail,49760.42,Eldoret,Bank Teller
TXN10011,CUST3933,2023-03-17,Fund Transfer,69937.95,65,Retail,407062.96,Mombasa,ATM
TXN10012,CUST1282,2023-03-16,Bill Payment,24327.47,18,Retail,331277.57,Mombasa,Online
TXN10013,CUST1755,2023-01-21,Withdrawal,19777.72,46,Retail,138992.32,Nairobi,Bank Teller
TXN10014,CUST4583,2023-01-08,Fund Transfer,17336.4,56,Retail,14896.63,Mombasa,Mobile Banking
TXN10015,CUST2405,2023-03-31,Bill Payment,29072.22,48,SME,196325.06,Nairobi,ATM
TXN10016,CUST9758,2023-07-24,Deposit,12090.66,35,SME,83446.57,Nairobi,Online
TXN10017,CUST3159,2023-12-19,Deposit,47497.36,26,Retail,449235.71,Nakuru,Bank Teller
TXN10018,CUST8171,2023-09-06,Deposit,93966.58,27,SME,29945.45,Nakuru,Online
TXN10019,CUST3522,2023-06-28,Bill Payment,35996.28,41,Retail,489677.39,Kisumu,ATM
TXN10020,CUST5398,2023-04-13,Fund Transfer,94942.75,47,SME,328982.78,Nairobi,Mobile Banking
TXN10021,CUST9560,2023-11-06,Fund Transfer,81757.42,46,Corporate,398537.67,Kisumu,Bank Teller
TXN10022,CUST6504,2023-02-28,Loan Payment,92876.04,45,SME,187279.89,Eldoret,ATM
TXN10023,CUST3210,2023-12-27,Fund Transfer,53495.19,23,SME,214390.93,Mombasa,ATM
TXN10024,CUST8637,2023-08-15,Fund Transfer,79836.46,60,SME,224420.59,Mombasa,Online
TXN10025,CUST6876,2023-12-28,Withdrawal,31513.54,40,Corporate,153026.81,Eldoret,Online
TXN10026,CUST9119,2023-01-31,Bill Payment,84098.23,31,SME,38520.06,Nakuru,Bank Teller
TXN10027,CUST5212,2023-07-31,Withdrawal,3242.47,33,Corporate,9759.14,Nakuru,Mobile Banking
TXN10028,CUST9609,2023-03-20,Deposit,63504.49,48,Retail,299335.27,Kisumu,Mobile Banking
TXN10029,CUST1864,2023-10-08,Loan Payment,66623.67,45,SME,235025.65,Mombasa,Mobile Banking
TXN10030,CUST5942,2023-02-16,Bill Payment,92556.88,36,SME,336850.57,Kisumu,Mobile Banking
TXN10031,CUST1164,2023-01-10,Deposit,29050.74,40,Corporate,330643.39,Nairobi,Online
TXN10032,CUST1397,2023-05-29,Bill Payment,87260.94,70,SME,134587.54,Eldoret,ATM
TXN10033,CUST2429,2023-01-28,Bill Payment,96812.63,26,Corporate,296654.47,Mombasa,Online
TXN10034,CUST7537,2023-05-06,Deposit,30781.65,18,Retail,461588.32,Eldoret,Mobile Banking
